"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1160;"The Midnight Town Stories: Adam's Diary";"₩ 8,900";"₩ 4,450";"-50%";"Adam wakes up trapped in his apartment building where darkness and strange visions abound To unravel the mystery and escape he must find missing diary pages embarking on a heartpumping First Person Escape Room Adventure in The Midnight Town Stories Adams Diary";"https://cdn.akamai.steamstatic.com/steam/apps/2522450/header.jpg?t=1699662212";"https://cdn.akamai.steamstatic.com/steam/apps/2522450/ss_9827d2421a19acc5940683fce30d31b0105b3565.1920x1080.jpg?t=1699662212";"https://store.steampowered.com/app/2522450/The_Midnight_Town_Stories_Adams_Diary?snr=1_2300_4__salebrowseall";1
1161;"ZomWick";"₩ 4,000";"₩ 2,800";"-30%";"Zomwick is a unique nonviolent 3D tower defense game where the objective is to outlast enemies by using tactics and upgrades instead of using lethal brute force Its addictive challenging and requires resourcefulness to surviveWith free content updates its a mustplay for TD fans";"https://cdn.akamai.steamstatic.com/steam/apps/2534300/header.jpg?t=1698901941";"https://cdn.akamai.steamstatic.com/steam/apps/2534300/ss_28a08554f9a364d3a692fc2efe28951792dc8346.1920x1080.jpg?t=1698901941";"https://store.steampowered.com/app/2534300/ZomWick?snr=1_2300_4__salebrowseall";1
1162;"Diluvian Ultra";"₩ 11,000";"₩ 9,900";"-10%";"Diluvian Ultra is a singleplayer firstperson shooter focusing on a retro aesthetic and fastpaced strategic combat The game is set in its own expansive fictive universe Rather than gritty or dark Diluvian Ultra is colorful and fantastical like the cover of pulp scifi novels of the past";"https://cdn.akamai.steamstatic.com/steam/apps/1306970/header.jpg?t=1697122890";"https://cdn.akamai.steamstatic.com/steam/apps/1306970/ss_ca606590fadb6ab225086bcd870497a9ccfecfb0.1920x1080.jpg?t=1697122890";"https://store.steampowered.com/app/1306970/Diluvian_Ultra?snr=1_2300_4__salebrowseall";1
1163;"Wildmender Soundtrack";"₩ 4,500";"₩ 4,050";"-10%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2595510/header.jpg?t=1696855705";"https://cdn.akamai.steamstatic.com/steam/apps/2595510/ss_88c88762e01a788f44a5b94e0eb84f1da70e3ef8.1920x1080.jpg?t=1696855705";"https://store.steampowered.com/app/2595510/Wildmender_Soundtrack?snr=1_2300_4__salebrowseall";1
1164;"Chroma Wars";"₩ 3,400";"₩ 2,280";"-33%";"A retro turnbased strategy game on a squaremap where you engage in technofantasy warfare Command magical armies repel abyssal foes and conquer the world in highskill strategic battles";"https://cdn.akamai.steamstatic.com/steam/apps/2500470/header.jpg?t=1697106105";"https://cdn.akamai.steamstatic.com/steam/apps/2500470/ss_68e9e3e4ca53138eddb304e1c44f53b0ed94e75e.1920x1080.jpg?t=1697106105";"https://store.steampowered.com/app/2500470/Chroma_Wars?snr=1_2300_4__salebrowseall";1
1165;"스팀펑크 직소 퍼즐 - 해적 함대";"₩ 3,400";"₩ 2,550";"-25%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2565040/header.jpg?t=1696941872";"https://cdn.akamai.steamstatic.com/steam/apps/2565040/ss_91309948f0171d08e6e15c7c1ab81e9aa17bf825.1920x1080.jpg?t=1696941872";"https://store.steampowered.com/app/2565040/?snr=1_2300_4__salebrowseall";1
1166;"CyberTD Soundtrack";"₩ 5,600";"₩ 4,480";"-20%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2456700/header.jpg?t=1695888134";"https://cdn.akamai.steamstatic.com/steam/apps/2456700/ss_b3da4ceb0dfd02d69e690410db6106617c39870a.1920x1080.jpg?t=1695888134";"https://store.steampowered.com/app/2456700/CyberTD_Soundtrack?snr=1_2300_4__salebrowseall";1
1167;"CyberTD";"₩ 21,500";"₩ 17,200";"-20%";"로그라이트 요소로 가득한 획기적인 타워 디펜스 게임에서 돌연변이 바이러스로부터 가상 공간의 핵을 지키세요 궁극의 방어선을 구축할 자신 있으신가요";"https://cdn.akamai.steamstatic.com/steam/apps/2109510/header.jpg?t=1698657217";"https://cdn.akamai.steamstatic.com/steam/apps/2109510/ss_1e1e180cffc6448791fdc8bcd464810735d49109.1920x1080.jpg?t=1698657217";"https://store.steampowered.com/app/2109510/CyberTD?snr=1_2300_4__salebrowseall";1
1168;"Welcome teacher";"₩ 3,400";"₩ 1,530";"-55%";"RGP MAKER MV로 만들어진 공포 쯔꾸르게임입니다 어둠에 감싸진 고요한 시골 그 뒤에 감춰진 공포의 비밀을 파헤쳐보세요";"https://cdn.akamai.steamstatic.com/steam/apps/2597210/header.jpg?t=1697161603";"https://cdn.akamai.steamstatic.com/steam/apps/2597210/ss_1df5e2aadd51480c26fb2daa1d9f6e7eb34d5e93.1920x1080.jpg?t=1697161603";"https://store.steampowered.com/app/2597210/Welcome_teacher?snr=1_2300_4__salebrowseall";1
1169;"Sigil of the Magi";"₩ 19,500";"₩ 14,620";"-25%";"Sigil of the Magi blends roguelike deckbuilding with turnbased combat for a deep tactical experience Navigate a world full of dangers and mystique as you craft your deck obtain relics and prepare your party of champions for any challenges ahead";"https://cdn.akamai.steamstatic.com/steam/apps/1781960/header.jpg?t=1697612735";"https://cdn.akamai.steamstatic.com/steam/apps/1781960/ss_c2ef41465bfe3c1af0711d0220f508b01b559c3d.1920x1080.jpg?t=1697612735";"https://store.steampowered.com/app/1781960/Sigil_of_the_Magi?snr=1_2300_4__salebrowseall";1
