"NUM";"TITLE";"genre"
94;"Leap of Fate (영어판/일어판)";"액션"
95;"Robozarro (영어판/일어판)";"액션"
96;"Robozarro (영어판/일어판)";"어드벤처"
97;"Super Kids Racing - Theme Park Edition (중국어(간체자), 한국어, 영어, 일본어)";"가족"
98;"Super Kids Racing - Theme Park Edition (중국어(간체자), 한국어, 영어, 일본어)";"드라이빙/레이싱"
99;"SWOON!EARTH ESCAPE (중국어(간체자), 한국어, 태국어, 말레이어, 영어, 일본어, 중국어(번체자))";"어드벤처"
100;"Epic Word Search Collection (영어판)";"퍼즐"
101;"Castle on the Coast (영어, 중국어(번체자))";"어드벤처"
102;"오마이GOD!아슬아슬구세주 (한국어, 영어, 일본어)";"전략"
103;"오마이GOD!아슬아슬구세주 (한국어, 영어, 일본어)";"액션"
104;"오마이GOD!아슬아슬구세주 (한국어, 영어, 일본어)";"어드벤처"
105;"Knightin'+ (영어판/일어판)";"액션"
106;"Jumping Flash! (영어)";"어드벤처"
107;"Pic-a-Pix Classic (한국어판)";"캐주얼"
108;"Pic-a-Pix Classic (한국어판)";"가족"
109;"Pic-a-Pix Classic (한국어판)";"퍼즐"
110;"시간은 아무도 기다리지 않는다 (영어)";"어드벤처"
111;"시간은 아무도 기다리지 않는다 (영어)";"퍼즐"
112;"SUPER TIME FORCE ULTRA (영어판)";"액션"
113;"ZOMB (영어판)";"아케이드"
114;"ZOMB (영어판)";"아케이드"
115;"ZOMB (영어판)";"슈팅"
116;"Zero Zero Zero Zero (영어판)";"액션"
117;"Pic-a-Pix Color (한국어판)";"두뇌개발"
118;"Pic-a-Pix Color (한국어판)";"가족"
119;"Pic-a-Pix Color (한국어판)";"퍼즐"
120;"Dracula's Legacy (영어)";"어드벤처"
121;"Dracula's Legacy (영어)";"공포"
122;"Dracula's Legacy (영어)";"캐주얼"
123;"Dracula's Legacy Remastered (영어)";"어드벤처"
124;"Dracula's Legacy Remastered (영어)";"공포"
125;"Dracula's Legacy Remastered (영어)";"캐주얼"
126;"Super Kids Racing - Lava Edition (중국어(간체자), 한국어, 영어, 일본어)";"가족"
127;"Super Kids Racing - Lava Edition (중국어(간체자), 한국어, 영어, 일본어)";"드라이빙/레이싱"
128;"Backpack Twins (영어, 일본어)";"액션"
129;"Backpack Twins (영어, 일본어)";"퍼즐"
130;"VESTA (영어판)";"액션"
131;"Gladiator: Blades of Fury (영어, 일본어, 중국어(번체자))";"액션"
132;"Gladiator: Blades of Fury (영어, 일본어, 중국어(번체자))";"격투"
133;"Gladiator: Blades of Fury (영어, 일본어, 중국어(번체자))";"스포츠"
134;"Gunducky Industries++ and Gunducky Trophy Avatar bundle (영어)";"액션"
135;"Gunducky Industries++ and Gunducky Trophy Avatar bundle (영어)";"아케이드"
136;"Miles ＆ Kilo (한국어판)";"액션"
137;"Neon Junctions (한국어판)";"퍼즐"
138;"Lizard Lady vs the Cats Platinum Edition (영어)";"아케이드"
139;"The Unknown City (Horror Begins Now.....Episode 1) (중국어(간체자), 영어, 일본어)";"액션"
140;"The Unknown City (Horror Begins Now.....Episode 1) (중국어(간체자), 영어, 일본어)";"공포"
141;"The Unknown City (Horror Begins Now.....Episode 1) (중국어(간체자), 영어, 일본어)";"슈팅"
142;"Shadow of Loot Box (한국어판)";"액션"
143;"The Voices Games Pixel Bundle (영어)";"액션"
144;"Exploria (영어)";"롤플레잉 게임"
145;"Truckzilla - Monster Truck Mega Ramp Mania (영어)";"액션"
146;"Truckzilla - Monster Truck Mega Ramp Mania (영어)";"드라이빙/레이싱"
147;"Truckzilla - Monster Truck Mega Ramp Mania (영어)";"시뮬레이션"
148;"GeoJelly (영어)";"아케이드"
149;"GeoJelly (영어)";"퍼즐"
150;"EMMA: Lost in Memories (영어판)";"액션"
151;"Epic World (중국어(간체자), 한국어, 영어, 일본어)";"액션"
152;"Epic World (중국어(간체자), 한국어, 영어, 일본어)";"어드벤처"
153;"Epic World (중국어(간체자), 한국어, 영어, 일본어)";"어드벤처"
154;"Risk System (영어, 일본어)";"아케이드"
155;"Bard's Gold (한국어, 영어, 일본어, 중국어(번체자))";"액션"
156;"Bard's Gold (한국어, 영어, 일본어, 중국어(번체자))";"액션"
157;"Angry Birds VR: Isle of Pigs (한국어, 영어, 일본어)";"캐주얼"
158;"Angry Birds VR: Isle of Pigs (한국어, 영어, 일본어)";"가족"
159;"Angry Birds VR: Isle of Pigs (한국어, 영어, 일본어)";"퍼즐"
