"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
172;"Saiko no sutoka";"₩ 5,500";"₩ 3,850";"-30%";"Saiko No Sutoka는 호러 생존게임으로 당신이 주인공인 선배가 되어 선배의 죽음을 바라고 있는 얀데레를 피해 탈출하는 게임입니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/1546860/header.jpg?t=1618314653";"https://cdn.cloudflare.steamstatic.com/steam/apps/1546860/ss_da24b64c1e79f79817e948e505548b2f1a674646.1920x1080.jpg?t=1618314653";"https://store.steampowered.com/app/1546860/Saiko_no_sutoka?snr=1_2300_4__salebrowseall";1
173;"Steep™";"₩ 33,000";"₩ 4,950";"-85%";"언제나 깨끗한 눈으로 가득한 알프스의 거대한 설원을 질주하세요 홀로 또는 친구와 함께 스키 윙수트 스노우보드 패러글라이더로 산을 정복하세요 최고의 묘기를 선보이고 공유하세요";"https://cdn.cloudflare.steamstatic.com/steam/apps/460920/header.jpg?t=1679998365";"https://cdn.cloudflare.steamstatic.com/steam/apps/460920/ss_871b8c0ec9fd523555e8d0d11d652f82da491894.1920x1080.jpg?t=1679998365";"https://store.steampowered.com/app/460920/Steep?snr=1_2300_4__salebrowseall";1
174;"Ultimate Fishing Simulator VR";"₩ 32,000";"₩ 4,800";"-85%";"Bored of waiting for a bite Would you like to catch some fish Youre lucky  in Ultimate Fishing Simulator fish bite like crazy Spinning float fishing ground fishing and more Now you can feel it on your own by playing it on VR";"https://cdn.cloudflare.steamstatic.com/steam/apps/1024010/header.jpg?t=1692034962";"https://cdn.cloudflare.steamstatic.com/steam/apps/1024010/ss_90ce4e2f4f7c4cf0dfe518dc9e4896fb1ce93189.1920x1080.jpg?t=1692034962";"https://store.steampowered.com/app/1024010/Ultimate_Fishing_Simulator_VR?snr=1_2300_4__salebrowseall";1
175;"Ultimate Fishing Simulator 2";"₩ 21,500";"₩ 9,670";"-55%";"낚시광이신가요 그렇다면 Ultimate Fishing Simulator 2로 낚시광인 것을 증명해 보세요 거대한 뱀상어가 포함된 60여 종의 물고기를 낚을 수 있는 여섯 개의 그림 같이 아름다운 장소가 제공되는 낚시 시뮬레이션 게임입니다 낚싯대를 준비하세요 모험이 기다립니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/1136380/header.jpg?t=1698397132";"https://cdn.cloudflare.steamstatic.com/steam/apps/1136380/ss_05692f4c476cc6e0b3580424d3f4768bffbb122a.1920x1080.jpg?t=1698397132";"https://store.steampowered.com/app/1136380/Ultimate_Fishing_Simulator_2?snr=1_2300_4__salebrowseall";1
176;"Clone Drone in the Danger Zone";"₩ 20,500";"₩ 10,250";"-50%";"Clone Drone in the Danger Zone은 몸이 잘려 나가 사방에 나뒹구는 3인칭 칼싸움 게임입니다 정신만 다운로드되어 로봇 검투사의 몸 속에서 부활한 당신은 아레나에서 펼쳐지는 비열한 시련 속에서 살아남아야 합니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/597170/header_koreana.jpg?t=1671196150";"https://cdn.cloudflare.steamstatic.com/steam/apps/597170/ss_b0e2f164f94d531f6c49785598f2a444d3e965a4.1920x1080.jpg?t=1671196150";"https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone?snr=1_2300_4__salebrowseall";1
177;"Mafia III: Definitive Edition";"₩ 35,000";"₩ 11,550";"-67%";"1968년 룰은 바뀌었다 베트남에서 수년간 전투를 치른 링컨 클레이는 진정한 가족이란 혈연으로 맺어진 것이 아닌 대신 죽어줄 수 있는 존재라 믿는다";"https://cdn.cloudflare.steamstatic.com/steam/apps/360430/header.jpg?t=1602775991";"https://cdn.cloudflare.steamstatic.com/steam/apps/360430/ss_5b51d533d6e270d41ccb65d4bed3d5126944d56c.1920x1080.jpg?t=1602775991";"https://store.steampowered.com/app/360430/Mafia_III_Definitive_Edition?snr=1_2300_4__salebrowseall";1
178;"CityDriver";"₩ 27,000";"₩ 21,600";"-20%";"Driving realistically in a real city for the first time  driving fun  training with CityDriver ViewApps newest simulation offers you the opportunity to explore the streets of Munich with various cars";"https://cdn.cloudflare.steamstatic.com/steam/apps/2064810/header.jpg?t=1699541190";"https://cdn.cloudflare.steamstatic.com/steam/apps/2064810/ss_66511f0793c7a5f55e0e8ec36bb09ce5ed7f008c.1920x1080.jpg?t=1699541190";"https://store.steampowered.com/app/2064810/CityDriver?snr=1_2300_4__salebrowseall";1
179;"Mega Man X Legacy Collection 2";"₩ 19,000";"₩ 7,600";"-60%";"록맨 30주년과 록맨 X25주년을 기념하여 명작 액션게임 록맨 X시리즈 8작품이 컬렉션으로 새롭게 단장되어 등장 본작 컬렉션 2에는 시리즈 후기의 록맨X5X8까지의 이식판을 수록다른 상품컬렉션에는 XX4를 수록";"https://cdn.cloudflare.steamstatic.com/steam/apps/743900/header.jpg?t=1669873839";"https://cdn.cloudflare.steamstatic.com/steam/apps/743900/ss_c7a5cc100527e989d30ea1a29383774157e9182b.1920x1080.jpg?t=1669873839";"https://store.steampowered.com/app/743900/Mega_Man_X_Legacy_Collection_2?snr=1_2300_4__salebrowseall";1
180;"RPG Maker MV - DorapixelMapChips - Modern JP";"₩ 41,000";"₩ 18,450";"-55%";"";"https://cdn.cloudflare.steamstatic.com/steam/apps/1648401/header.jpg?t=1654500219";"https://cdn.cloudflare.steamstatic.com/steam/apps/1648401/ss_f703c6979ab461bdd72cf389fdeb7685f9b495fc.1920x1080.jpg?t=1654500219";"https://store.steampowered.com/app/1648401/RPG_Maker_MV__DorapixelMapChips__Modern_JP?snr=1_2300_4__salebrowseall";1
181;"Phoenix Wright: Ace Attorney Trilogy - Turnabout Tunes";"₩ 11,400";"₩ 9,120";"-20%";"";"https://cdn.cloudflare.steamstatic.com/steam/apps/1032760/header.jpg?t=1581558072";"https://cdn.cloudflare.steamstatic.com/steam/apps/1032760/ss_c95b0055747d92ab720088542b2f44f657f73c0c.1920x1080.jpg?t=1581558072";"https://store.steampowered.com/app/1032760/Phoenix_Wright_Ace_Attorney_Trilogy__Turnabout_Tunes?snr=1_2300_4__salebrowseall";1
182;"Bravery and Greed";"₩ 21,500";"₩ 10,750";"-50%";"Bravery and Greed는 비뎀업 로그라이트 던전 브롤러 장르로 최대 4명까지 플레이할 수 있습니다 4가지의 고전적인 판타지 클래스에서 선택하고 심층적이고 강력한 전투 시스템에 참여하여 로컬과 온라인 또는 2가지 모두를 활용하며 친구들과 함께 협동과 경쟁을 넘나들고 다양한 게임 모드를 즐길 수 있습니다 부가 없다면 죽음뿐입니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/943370/header.jpg?t=1683211637";"https://cdn.cloudflare.steamstatic.com/steam/apps/943370/ss_fb9035ad8359d76ae70904503bf872a9233c3e8c.1920x1080.jpg?t=1683211637";"https://store.steampowered.com/app/943370/Bravery_and_Greed?snr=1_2300_4__salebrowseall";1
183;"The Oregon Trail";"₩ 33,500";"₩ 20,100";"-40%";" 아름다운 픽셀 아트 그래픽과 3D 환경 최신 광원 및 비주얼 효과로 무장한 오리건 트레일이 돌아옵니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/2013360/header.jpg?t=1683118868";"https://cdn.cloudflare.steamstatic.com/steam/apps/2013360/ss_ff40adbd03fb224c991a4cba6839343e1495dd29.1920x1080.jpg?t=1683118868";"https://store.steampowered.com/app/2013360/The_Oregon_Trail?snr=1_2300_4__salebrowseall";1
