TITLE,PRICE,SALEPRICE,SALEPER,DESCRIPTION,IMGDATA,GAMEIMG,URL
"바람의 크로노아 1&2 모험의 시작 PS4 & PS5 (중국어(간체자), 한국어, 중국어(번체자))","49,800원","19,920원",-60%,본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다이 상품은 일반판입니다 추가 콘텐츠를 포함하는 세트 상품도 있으므로 중복 구매에는 주의하여 주십시오다운로드 버전 구매 특전크로노아 의상 므우 변신 세트적 캐릭터 므우로 플레이할 수 있는 변신 의상디자인 내용 및 사양은 예고 없이 변경될 수 있습니다의상 DLC는 게임 본편에 제공됩니다특전은 추후 별도로 판매될 수 있습니다특전은 다운로드 후 옵션의,https://image.api.playstation.com/vulcan/ap/rnd/202204/0505/32CRrGorCqThnx34otAbv7gs.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202204/0705/q1JbVTKwF1MDxqrqnKSig2iR.jpg?w=1920,https://store.playstation.com//ko-kr/product/HP0700-PPSA04794_00-KLONOA12ENCORE00
"ROCKMAN EXE ADVANCED COLLECTION Vol.1 (중국어(간체자), 영어, 일본어, 중국어(번체자))","48,400원","36,300원",-25%,이 상품이 포함된 세트 상품도 있습니다 중복 구매에 주의해 주시기 바랍니다시리즈 후반 타이틀인 ROCKMAN EXE 4부터 ROCKMAN EXE 6까지를 수록한 다른 상품 ROCKMAN EXE ADVANCED COLLECTION Vol2도 있습니다 주의해 주시기 바랍니다애니메이션 만화를 통해 많은 사랑을 받은 록맨 에그제가 컬렉션 버전으로 등장본 작품 Vol1에는 ROCKMAN EXE부터 ROCKMAN EXE 3까지의 4작품각 타이틀의 다른 버전 포함이,https://image.api.playstation.com/vulcan/ap/rnd/202212/0100/NrlwYfEGwfhuhra6uDt3IsfD.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202304/0407/cf6c081a4ebe60cf04b25deeebeb94a4084504ecf0f2ead6.png?w=1920,https://store.playstation.com//ko-kr/product/UP0102-CUSA31426_00-MMBNC10000000000
"ROCKMAN EXE ADVANCED COLLECTION Vol.2 (중국어(간체자), 영어, 일본어, 중국어(번체자))","48,400원","36,300원",-25%,이 상품이 포함된 세트 상품도 있습니다 중복 구매에 주의해 주시기 바랍니다시리즈 전반 타이틀인 ROCKMAN EXE부터 ROCKMAN EXE 3까지를 수록한 다른 상품 ROCKMAN EXE ADVANCED COLLECTION Vol1도 있습니다 주의해 주시기 바랍니다애니메이션 만화를 통해 많은 사랑을 받은 록맨 에그제가 컬렉션 버전으로 등장본 작품 Vol2에는 ROCKMAN EXE 4부터 ROCKMAN EXE 6까지의 6작품각 타이틀의 다른 버전 포함이,https://image.api.playstation.com/vulcan/ap/rnd/202304/0407/0a2a741c30d2a333ac6f9e7b17a55feb61db33e15e09870c.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202304/0407/b1595b098f01b8436c85c81ebb9b1e55ea4ee4b5be2cc6c7.png?w=1920,https://store.playstation.com//ko-kr/product/UP0102-CUSA31429_00-MMBNC20000000000
"ROCKMAN EXE ADVANCED COLLECTION (중국어(간체자), 영어, 일본어, 중국어(번체자))","72,700원","47,982원",-34%,이 상품은 ROCKMAN EXE ADVANCED COLLECTION Vol1과 ROCKMAN EXE ADVANCED COLLECTION Vol2의 세트 상품입니다애니메이션 만화를 통해 많은 사랑을 받은 록맨 에그제가 컬렉션 버전으로 등장본작에는 ROCKMAN EXE부터 ROCKMAN EXE 6까지의 10작품각 타이틀의 다른 버전 포함이 수록되어 있으며일러스트나 BGM을 감상할 수 있는 갤러리 등의 추가 요소도 탑재 이밖에도 대망의 온라인 통신에도 대응하,https://image.api.playstation.com/vulcan/ap/rnd/202212/0100/YcNWH8ubWpYQf61QdZb7HhpJ.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202212/0100/JLa8aWrP0TJjixToRUuR2W3J.png?w=1920,https://store.playstation.com//ko-kr/product/UP0102-CUSA31426_00-MMBNC12000000000
Need for Speed™ Deluxe Edition (영어판),"28,500원","7,125원",-75%,이 세트 아이템에 포함되는 아이템은 단품으로도 구입이 가능합니다 이전에 구매하신 각 아이템의 환불은 불가능합니다Need for Speed Deluxe Edition으로 유리하게 출발하세요 콘텐츠 팩 차량 랩 등이 함께 제공됩니다Need for Speed에서 최고의 스트리트 레이서가 되십시오 5가지 플레이 방법  스피드 스타일 빌드 크루 및 아웃로의 5가지 플레이 방법을 모두 마스터하여 명성을 획득하세요 풍부한 현실감 있는 커스터마이즈  광범위한 외형 및,https://image.api.playstation.com/cdn/HP0006/CUSA01884_00/ofYxGQ9qIPMyl9K9NoEL3rdW8kTRdepOZfnpq7GzN8H9WKMROzMhRjA04Uy6yhTY.png?w=440,https://image.api.playstation.com/vulcan/img/rnd/202010/1520/iw0aymSkWMtClRi9Dv6Oa49m.png?w=1920,https://store.playstation.com//ko-kr/product/HP0006-CUSA01884_00-BUNDLE0000000002
Need for Speed™ Heat (한국어판),"72,000원","5,760원",-92%,본 아이템이 포함되어 있는 세트 상품도 있습니다 중복구입이 되지 않도록 주의하여 주십시오Need for Speed Heat에서 낮에는 스릴 넘치게 밤에는 위험하게 스트리트 레이싱의 엘리트 크루에 들어가기 위해 고군분투하며 도시의 악명 높은 경찰과 맞붙는 짜릿한 레이싱을 경험하세요권리표기조건 및 제한사항이 적용됩니다 상세 사항은 wwweacomkokrlegal 를 참조하십시오차량은 EA에 의해 가상 또는 라이선스가 허가된 AEM 부품 로고 또는 개조로 꾸,https://image.api.playstation.com/vulcan/ap/rnd/202209/2915/uZgA8iEoSMzNrbDsj6dZpnpu.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202209/2915/aUUKe9ufdkY0V8WlUbwK7RnO.png?w=1920,https://store.playstation.com//ko-kr/product/UP0006-CUSA15081_00-ASIA000000000001
Need for Speed™ Payback (영어판),"34,000원","3,400원",-90%,본 아이템이 포함되어 있는 세트 상품도 있습니다 중복구입이 되지 않도록 주의하여 주십시오세계적인 베스트셀러 시리즈 게임 Need for Speed가 새로운 액션 드라이빙 블록버스터 Need for Speed Payback으로 맹렬하게 돌아옵니다 포춘 밸리의 지하세계를 무대로 당신과 크루는 배신 때문에 뿔뿔이 흩어졌다가 도시의 카지노 범죄자 경찰을 지배하는 악명 높은 카르텔 하우스에 복수하기 위해 재결합합니다 이 부패한 도박사들의 천국에는 큰 판돈이 걸려,https://image.api.playstation.com/vulcan/ap/rnd/202209/2915/ZWHborq3Hb7ZM6Gwy38Rnl21.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202209/2915/P701lCYKsaRqN2tA1F8MJOlz.png?w=1920,https://store.playstation.com//ko-kr/product/UP0006-CUSA05999_00-ASIAPLACEHOLDER0
니드포스피드 라이벌: 컴플리트 에디션 (영어판),"45,000원","11,250원",-75%,본 소프트웨어는 PlayStation4 전용입니다이전에 구매된 각 각의 추가 팩에 대한 환불은 불가능합니다과거 출시된 다운로드 콘텐츠 팩 6개가 모두 포함된 완전한 니드포스피드 라이벌 패키지를 받아보세요Redview County에 오신 것을 환영합니다 경찰 혹은 레이서로 플레이하고 각 진영의 독특한 게임 플레이를 느껴보세요 참혹한 오픈 로드 환경에서 가장 빠른 차량 모드 및 기술이 등장하는 전면전에서 경쟁해보세요포함된 추가 팩Simply Jaguar 컴,https://image.api.playstation.com/cdn/UP0006/CUSA00113_00/rwSLoad99bdoQFMOsDrgfF6HBVngiuVEZ94kklJdA1F57LVSzMK2iXyjalOzTNCl.png?w=440,https://image.api.playstation.com/cdn/UP0006/CUSA00113_00/rwSLoad99bdoQFMOsDrgfF6HBVngiuVEZ94kklJdA1F57LVSzMK2iXyjalOzTNCl.png?w=780,https://store.playstation.com//ko-kr/product/UP0006-CUSA00113_00-ASIACOMPLETEEDFG
원피스 그랜드 크루즈 (한국어판),"10,800원","5,400원",-50%,PlayStationVR을 통해 원피스 세계로 찾아와 해적 생활을 체험해 보세요 최초의 원피스 VR 체험에 빠져들 준비를 하세요 그 유명한 사우전드 서니 호에 올라타 밀짚모자 해적단의 루피 조로 나미 상디 그리고 더욱 많은 캐릭터들과 만나 보세요 적들과 용감하고 치열하게 맞서 싸우고 배를 지키기 위해 대포를 쏘세요 배 안에서 탐사할 방을 선택하고 해적으로서의 기분을 느껴 보세요추가로 PS5 콘솔에서 PS Camera 전용 PlayStation Camer,https://image.api.playstation.com/cdn/HP0700/CUSA11396_00/jpWBTkV4k0v0KLcpWvlX5d4zaqndXYS8PQsEKGX21V4mYOeNUuO4KEdp75iFxcCj.png?w=440,https://image.api.playstation.com/cdn/HP0700/CUSA11396_00/TnOMkHaHJnOZxvpyeCJRgLdTNeVgjIQh.png?w=1920,https://store.playstation.com//ko-kr/product/HP0700-CUSA11396_00-ONEPIECEGCPS4000
"타이니 티나의 원더랜드: 카오틱 그레이트 에디션 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))","98,000원","32,340원",-67%,기발하고도 놀라우며 초강력 무기로 가득한 전설적인 모험을 떠나세요 타이니 티나가 창조한 엉뚱한 판타지 월드에서 총알과 마법 그리고 검이 서로 격돌합니다여러분만의 멀티클래스 영웅을 만들고 포악한 용의 군주를 막을 퀘스트를 하며 기이한 몬스터와 아이템으로 가득한 던전을 탐색하고 쏘고 베고 줍고 발사하며 나아가세요 환상의 파티에서 모두를 환영합니다 모험에 떠날 채비를 하고 엉뚱한 판타지에 들어오세요 에디션 구성품기본 게임PlayStation5 콘솔에 최적화용,https://image.api.playstation.com/vulcan/ap/rnd/202108/0510/l2drT3RrN02RDR3W4lWdvYXi.png?w=440,https://image.api.playstation.com/vulcan/ap/rnd/202108/0510/3sgX61lyRXK82Q7JVxKB8U3e.png?w=1920,https://store.playstation.com//ko-kr/product/UP1001-PPSA01492_00-TTWPREMIUMSIEA00
